Age Group,Gender,What is your highest level of education,What is your occupation status? ,How often do you shop online? ,"How familiar are you with AI features used in e-commerce platforms (e.g., chatbots, recommendations)? ",Which of the following AI tools have you interacted with while shopping online? (Select all that apply) ,Have AI-generated product recommendations influenced your buying decisions? ,Do you find AI-generated suggestions more helpful than browsing manually? ,"Have urgency messages (e.g., ""Only 2 left in stock!"") influenced your purchase? ",Do you think AI systems are capable of understanding your preferences accurately? ,Do you feel comfortable with the amount of personal data AI systems collect about you? ,Have you ever found AI-generated ads or suggestions to be intrusive or creepy? ,"Do you believe AI in e-commerce is biased toward certain consumer groups (e.g., based on location, income, past behavior)? ",Should companies be required to explain how their AI systems make decisions? ,Do you trust AI more than human customer service in e-commerce platforms? ,How do you feel about dynamic pricing (AI changing prices in real time)? ,Do you think AI improves your overall satisfaction with online shopping? ,Would you support regulations to ensure ethical AI usage in e-commerce? ,What is your biggest concern about AI in e-commerce?  (Select all that apply)   
18–25,Male,Postgraduate,Student,Occasionally (once a month),Very familiar,Product recommendation engines,Occasionally,Agree,Occasionally,Somewhat accurately,Yes,Sometimes,Possibly,Not necessary,Yes,Acceptable if transparent,Agree,Somewhat support,Manipulative advertising
18–25,Male,Postgraduate,Student,Occasionally (once a month),Very familiar,Product recommendation engines;Chatbots/Virtual Assistants;Dynamic pricing systems;Voice-based shopping assistants,Frequently,Strongly agree,"Yes, many times","Yes, very accurately",Yes,Sometimes,"Yes, significantly","Yes, always",Yes,It’s fair and helpful,Strongly agree,Strongly support,Manipulative advertising
18–25,Female,Postgraduate,Student,Frequently (once a week or more),Very familiar,Product recommendation engines;Chatbots/Virtual Assistants;Voice-based shopping assistants,Occasionally,Agree,"Yes, many times",Somewhat accurately,Yes,Never,Possibly,Not sure,Equally,Not aware of it,Agree,Not sure,Data privacy
18–25,Male,Postgraduate,Student,Occasionally (once a month),Very familiar,Product recommendation engines,Frequently,Strongly agree,Rarely,Somewhat accurately,Not really,Sometimes,Possibly,Only in sensitive cases,No,Acceptable if transparent,Agree,Somewhat support,Manipulative advertising
18–25,Female,Undergraduate,Student,Occasionally (once a month),Somewhat familiar,Chatbots/Virtual Assistants;Voice-based shopping assistants,Rarely,Disagree,Never,Not really,Not really,Rarely,Unlikely,Only in sensitive cases,No,Acceptable if transparent,Agree,Somewhat support,Biased recommendations
18–25,Male,Undergraduate,Student,Rarely,Somewhat familiar,Chatbots/Virtual Assistants;Voice-based shopping assistants,Rarely,Agree,Never,Not really,Not really,Often,"Yes, significantly",Not necessary,Yes,It’s fair and helpful,Disagree,Somewhat support,Data privacy
18–25,Male,Postgraduate,Student,Rarely,Somewhat familiar,Product recommendation engines;Chatbots/Virtual Assistants;Dynamic pricing systems,Occasionally,Agree,Rarely,Somewhat accurately,Somewhat,Sometimes,Possibly,Only in sensitive cases,No,Acceptable if transparent,Agree,Strongly support,Data privacy
18–25,Male,Postgraduate,Student,Rarely,Slightly familiar,Product recommendation engines;Dynamic pricing systems,Occasionally,Disagree,"Yes, many times",Somewhat accurately,Yes,Rarely,Unlikely,Only in sensitive cases,Yes,Not aware of it,Strongly agree,Not sure,Manipulative advertising
18–25,Male,High School or below,Student,Occasionally (once a month),Slightly familiar,Product recommendation engines,Rarely,Agree,"Yes, many times","Yes, very accurately",Not really,Sometimes,Possibly,Only in sensitive cases,No,Not aware of it,Agree,Not sure,Data privacy
18–25,Male,Postgraduate,Student,Frequently (once a week or more),Very familiar,Product recommendation engines;Voice-based shopping assistants,Occasionally,Agree,Occasionally,"Yes, very accurately",Yes,Often,Possibly,"Yes, always",Yes,It’s fair and helpful,Agree,Strongly support,Data privacy
18–25,Male,Postgraduate,Employed,Occasionally (once a month),Very familiar,Product recommendation engines;Dynamic pricing systems,Frequently,Agree,"Yes, many times","Yes, very accurately",Yes,Sometimes,Possibly,Only in sensitive cases,Yes,Manipulative and unfair,Strongly disagree,Not sure,No concerns
26–40,Male,Postgraduate,Employed,Occasionally (once a month),Somewhat familiar,Chatbots/Virtual Assistants;Dynamic pricing systems,Occasionally,Strongly agree,Rarely,Somewhat accurately,Yes,Sometimes,Possibly,Only in sensitive cases,Equally,Manipulative and unfair,Disagree,Oppose,Lack of transparency
26–40,Male,Undergraduate,Employed,Never,Not familiar at all,Product recommendation engines;Chatbots/Virtual Assistants;Dynamic pricing systems;Voice-based shopping assistants,Frequently,Disagree,Rarely,Somewhat accurately,Not at all,Often,"Yes, significantly",Not sure,No,Manipulative and unfair,Strongly disagree,Strongly support,Lack of transparency
18–25,Female,Postgraduate,Student,Occasionally (once a month),Slightly familiar,Product recommendation engines;Chatbots/Virtual Assistants,Rarely,Disagree,"Yes, many times",Somewhat accurately,Not really,Sometimes,Possibly,Only in sensitive cases,Equally,Acceptable if transparent,Agree,Strongly support,Data privacy
18–25,Female,Postgraduate,Student,Occasionally (once a month),Slightly familiar,None of the above,Rarely,Agree,Rarely,Somewhat accurately,Not really,Sometimes,Possibly,Only in sensitive cases,No,Not aware of it,Disagree,Somewhat support,Data privacy
18–25,Female,Undergraduate,Student,Occasionally (once a month),Very familiar,Product recommendation engines;Chatbots/Virtual Assistants,Occasionally,Agree,Rarely,Somewhat accurately,Not really,Sometimes,Unlikely,Only in sensitive cases,Equally,Acceptable if transparent,Agree,Strongly support,Data privacy
18–25,Female,Postgraduate,Student,Rarely,Slightly familiar,Product recommendation engines,Rarely,Agree,Rarely,Somewhat accurately,Somewhat,Sometimes,Possibly,Only in sensitive cases,Equally,Acceptable if transparent,Agree,Somewhat support,Biased recommendations
18–25,Female,Postgraduate,Student,Occasionally (once a month),Very familiar,Product recommendation engines;Chatbots/Virtual Assistants;Dynamic pricing systems;Voice-based shopping assistants,Occasionally,Strongly agree,"Yes, many times",Somewhat accurately,Somewhat,Sometimes,Possibly,Only in sensitive cases,No,Acceptable if transparent,Strongly agree,Strongly support,Data privacy
18–25,Female,Postgraduate,Student,Rarely,Somewhat familiar,Product recommendation engines;Dynamic pricing systems,Occasionally,Agree,Occasionally,Somewhat accurately,Somewhat,Rarely,Unlikely,"Yes, always",No,Acceptable if transparent,Agree,Strongly support,Lack of transparency
18–25,Male,Postgraduate,Student,Frequently (once a week or more),Very familiar,Product recommendation engines;Chatbots/Virtual Assistants,Occasionally,Agree,Occasionally,Somewhat accurately,Somewhat,Sometimes,"Yes, significantly",Only in sensitive cases,No,Acceptable if transparent,Agree,Somewhat support,Data privacy;Biased recommendations
26–40,Female,Postgraduate,Unemployed,Frequently (once a week or more),Very familiar,Chatbots/Virtual Assistants,Rarely,Disagree,"Yes, many times",Somewhat accurately,Not really,Often,"Yes, significantly","Yes, always",No,Manipulative and unfair,Agree,Oppose,Biased recommendations
26–40,Female,Postgraduate,Employed,Occasionally (once a month),Slightly familiar,None of the above,Rarely,Disagree,Never,Not really,Not really,Rarely,Possibly,Only in sensitive cases,No,Manipulative and unfair,Disagree,Oppose,Lack of transparency
18–25,Male,Undergraduate,Student,Occasionally (once a month),Somewhat familiar,Chatbots/Virtual Assistants,Never,Disagree,Rarely,Not really,Not really,Sometimes,Possibly,Only in sensitive cases,No,Acceptable if transparent,Disagree,Oppose,Data privacy;Manipulative advertising;Lack of transparency
18–25,Male,Postgraduate,Student,Frequently (once a week or more),Very familiar,Product recommendation engines;Chatbots/Virtual Assistants,Rarely,Disagree,Never,Somewhat accurately,Not at all,Often,"Yes, significantly",Only in sensitive cases,Equally,Acceptable if transparent,Agree,Somewhat support,Data privacy;Manipulative advertising;Biased recommendations
